,text,prediction
52,bill wurtz really is like prefab sprout with a little bit of they might be giants scritti politti weather report the rippingtons and talking heads huh,4.0
53,bill wurtz um belo resqucio do q a internet j teve de bom algum dia posta video novo depois de anos sumido e ainda assim consegue milhes de visualizaestem q acabar essa onda errada de contedo ruim a cada hora pra tentar manter relevncia,4.0
54,new bill wurtz song new bill wurtz song,4.0
55,bill wurtz is a gem i stg his random music gives me such a serotonin boost,4.0
56,another new bill wurtz song,4.0
57,i feel like bill wurtz just makes up the lyrics on the fly,4.0
58,thank you it was also i think bill wurtz wished me happy birthday in his new video,4.0
59,theres a new bill wurtz song and i think its my new favourite,4.0
60,new bill wurtz song is so swag,4.0
61,bill wurtz career is make funky tune with animated arial text and stick figures and thats powerful,4.0
62,babe wake up new bill wurtz song,4.0
63,new bill wurtz video people,4.0
64,new bill wurtz pog,4.0
65,bill wurtz makes me feel the things,4.0
66,i watched bill wurtz infamous history of the world in high school and just pretended i knew stuff after that,4.0
67,tfw you find out your comment analyzing a bill wurtz song months ago has k likes and replies from philistines making fun of me for finding meaning in at the airport termimal,0.0
68,idk why but bill wurtzs songsvideos are the neurodivergent trans experience,0.0
69,how did bill wurtz predict,0.0
70,just woke up and a new masterpiece was spawned into existence by my boy bill wurtz,0.0
71,all new bill wurtz songs have lyrics that are so fucking jenniicore and nobody understands what this means but me its crazy,0.0
72,if bill wurtz ever gets canceled hide it from me pls dont take that joy away from me,0.0
73,lemon demon cover album thats just me doing really shitty covers of the dark songs and giving them knockoff names like my boats and sick kitty and bill wurtz,0.0
74,bill wurtz vinyl when,0.0
75,bill wurtzgi ve s mejoy,0.0
76,bill wurtz is and probably will be one of the most creative people in the entirety of youtube i dont use youtube much but i fail to see someone come close to his type of content,0.0
77,every time bill wurtz uploads a new video i go on a mad binge of his channel and i cannot be stopped,0.0
78,the only reason bill wurtzs oeuvre passes the turing test is that an ai couldnt be so delightfully weird,0.0
79,babe wake up new bill wurtz just dropped,0.0
80,japanese history teacher reacts to history of japan by bill wurtz,0.0
81,this song speaks to me we must protect bill wurtz at all costs,0.0
82,new bill wurtz dropped,0.0
83,bill wurtz makes nothin but bops,0.0
84,bill wurtz has nothing but bangers,0.0
85,wake up new bill wurtz video just dropped,0.0
86,this song speaks to me we must protect bill wurtz at all costs,0.0
87,new bill wurtz track just dropped,0.0
88,new bill wurtz track just dropped,0.0
89,wurtz poppin off in this one dang,0.0
90,esqueci de falar que amo os vdeos do bill wurtz,0.0
91,bill wurtz is hyperpopthere i said it i can go back to what i was doing now,0.0
92,bill wurtz literally never misses,0.0
93,crying over bill wurtz,0.0
94,yall bill wurtz put out a fuckin banger just now,0.0
95,yall stop what youre doing theres a new bill wurtz and it slaps,0.0
96,eu te amo bill wurtz,0.0
97,if bill wurtz made another history video i cant even put into words how happy i would be,0.0
98,bill wurtz uploaded this is not a drill,0.0
99,during that year and a half bill wurtz was gone he learned about minor keys thats crazy,0.0
